id,name,address,latitude,longitude,review_count,rating,zip_code
O1fUmxt3kbV-rnyjBtzAfw,THEP Thai Restaurant,1439 2nd Ave,40.77078,-73.95727,2505,4.5,10021
B3_K2kUVbYOU0VaLcj_LTw,Thai Villa,5 E 19th St,40.73902,-73.99065,4529,4.5,10003
NN3mOWF5e_pnR1ArqM2bHQ,OBAO,647 9th Ave,40.7606544,-73.991332,3789,4.0,10036
-OixbLnFLCzQclxCSbUQ8w,Up Thai,1411 2nd Ave,40.7698275926665,-73.9576330868512,2869,4.5,10021
jjJc_CrkB2HodEinB6cWww,LoveMama,174 2nd Ave,40.730408722512074,-73.98612673033213,6356,4.5,10003
MhceeLrM2_3mcKw5EGLY6A,Pure Thai Cookhouse,766 9th Ave,40.764291,-73.988159,2792,4.0,10019
AHrU1F123QPdVPTCnsy_xA,Chalong,749 9th Ave,40.763924,-73.988883,50,5.0,10019
KHdYPT0jUnUGdHGaY73mxg,Sukhumvit 51,224 E 51st St,40.7559139831703,-73.9693867939228,819,4.0,10022
dl4QvM8WAzATC7ChNIQh3g,Thank You Come Again,601 Lexington Ave,40.75878,-73.97048,10,4.0,10022
dpo_TBvuRi2nEzuVdO4AiQ,Mitr Thai,37 W 46th St,40.75688959835714,-73.9804147,132,4.5,10036
VoAuIReq_cPUrFwxbWqG_Q,Sala Thai Restaurant,307 Amsterdam Ave,40.7801199,-73.98032,720,4.5,10023
-XYp6w50XbZfS90YddS5ew,Soothr,204 E 13th St,40.732259,-73.987363,912,4.5,10003
-Q8MYIWoE4EsGQtudIOY0w,Bua Thai Ramen & Robata Grill,1611 2nd Ave,40.7763615,-73.95308,1983,4.5,10028
UC3n_0vZ5zI1fvi7UzNZAg,Sabai Thai,432 Park Ave S,40.74422,-73.98365,429,4.5,10016
7xe5Pd4fvN2vo05FP2XOeg,LumLum ,404 W 49th,40.7629,-73.98991,219,4.5,10019
egDEaHpDumYHzRUZ8JBU-w,Pranakhon Thai Restaurant,88 University Pl,40.733804,-73.993167,101,4.5,10003
0IFDnYf3bhqxJR6hVrG7Gw,Top Thai Vintage,55 Carmine St,40.729907419973344,-74.00421380395268,864,4.5,10014
